SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Industry,Index
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5,Chemicals,NIFTY 500
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,1,INE253B01015,10,Investment Banking & Investment Services,NIFTY 500
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,1,INE466L01038,1,Investment Banking & Investment Services,NIFTY 500
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,1,INE748C01038,10,Software & IT Services,NIFTY 500
3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10,Consumer Goods Conglomerates,NIFTY 500
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2,Investment Banking & Investment Services,NIFTY 500
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10,Investment Banking & Investment Services,NIFTY 500
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2,Software & IT Services,NIFTY 500
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-Dec-10,10,1,INE619I01012,10,Construction & Engineering,NIFTY 500
AAATECH,AAA Technologies Limited,EQ,28-Nov-22,10,1,INE0D0U01013,10,Software & IT Services,NIFTY 500
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,1,INE883F01010,10,Banking Services,NIFTY 500
AAKASH,Aakash Exploration Services Limited,BE,29-Sep-20,1,1,INE087Z01024,1,Oil & Gas Related Equipment and Services,NIFTY 500
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-Aug-21,10,1,INE198H01019,10,Pharmaceuticals,NIFTY 500
AARON,Aaron Industries Limited,EQ,06-Nov-20,10,1,INE721Z01010,10,"Machinery, Equipment & Components",NIFTY 500
